#Log of all packets received by server
#SeqNo,TimeArrived,NumTimesSeen
0,84.15533542633057,1
1,84.41208481788635,1
2,84.66869139671326,1
3,84.92376160621643,1
4,85.16958928108215,1
5,85.42463040351868,1
